"Heure";"Latence la plus élevée pour esxi-2.infra.vinc.stage";"Utilisation pour esxi-2.infra.vinc.stage"
"2024-03-15T16:30:00.000Z";;
"2024-03-15T17:00:00.000Z";;
"2024-03-15T17:30:00.000Z";;
"2024-03-15T18:00:00.000Z";;
"2024-03-15T18:30:00.000Z";;
"2024-03-15T19:00:00.000Z";;
"2024-03-15T19:30:00.000Z";;
"2024-03-15T20:00:00.000Z";;
"2024-03-15T20:30:00.000Z";;
"2024-03-15T21:00:00.000Z";;
"2024-03-15T21:30:00.000Z";;
"2024-03-15T22:00:00.000Z";;
"2024-03-15T22:30:00.000Z";;
"2024-03-15T23:00:00.000Z";;
"2024-03-15T23:30:00.000Z";;
"2024-03-16T00:00:00.000Z";;
"2024-03-16T00:30:00.000Z";;
"2024-03-16T01:00:00.000Z";;
"2024-03-16T01:30:00.000Z";;
"2024-03-16T02:00:00.000Z";;
"2024-03-16T02:30:00.000Z";;
"2024-03-16T03:00:00.000Z";;
"2024-03-16T03:30:00.000Z";;
"2024-03-16T04:00:00.000Z";;
"2024-03-16T04:30:00.000Z";;
"2024-03-16T05:00:00.000Z";;
"2024-03-16T05:30:00.000Z";;
"2024-03-16T06:00:00.000Z";;
"2024-03-16T06:30:00.000Z";;
"2024-03-16T07:00:00.000Z";;
"2024-03-16T07:30:00.000Z";;
"2024-03-16T08:00:00.000Z";;
"2024-03-16T08:30:00.000Z";;
"2024-03-16T09:00:00.000Z";;
"2024-03-16T09:30:00.000Z";;
"2024-03-16T10:00:00.000Z";;
"2024-03-16T10:30:00.000Z";;
"2024-03-16T11:00:00.000Z";;
"2024-03-16T11:30:00.000Z";;
"2024-03-16T12:00:00.000Z";;
"2024-03-16T12:30:00.000Z";;
"2024-03-16T13:00:00.000Z";;
"2024-03-16T13:30:00.000Z";;
"2024-03-16T14:00:00.000Z";;
"2024-03-16T14:30:00.000Z";;
"2024-03-16T15:00:00.000Z";;
"2024-03-16T15:30:00.000Z";;
"2024-03-16T16:00:00.000Z";;
"2024-03-16T16:30:00.000Z";;
"2024-03-16T17:00:00.000Z";;
"2024-03-16T17:30:00.000Z";;
"2024-03-16T18:00:00.000Z";;
"2024-03-16T18:30:00.000Z";;
"2024-03-16T19:00:00.000Z";;
"2024-03-16T19:30:00.000Z";;
"2024-03-16T20:00:00.000Z";;
"2024-03-16T20:30:00.000Z";;
"2024-03-16T21:00:00.000Z";;
"2024-03-16T21:30:00.000Z";;
"2024-03-16T22:00:00.000Z";;
"2024-03-16T22:30:00.000Z";;
"2024-03-16T23:00:00.000Z";;
"2024-03-16T23:30:00.000Z";;
"2024-03-17T00:00:00.000Z";;
"2024-03-17T00:30:00.000Z";;
"2024-03-17T01:00:00.000Z";;
"2024-03-17T01:30:00.000Z";;
"2024-03-17T02:00:00.000Z";;
"2024-03-17T02:30:00.000Z";;
"2024-03-17T03:00:00.000Z";;
"2024-03-17T03:30:00.000Z";;
"2024-03-17T04:00:00.000Z";;
"2024-03-17T04:30:00.000Z";;
"2024-03-17T05:00:00.000Z";;
"2024-03-17T05:30:00.000Z";;
"2024-03-17T06:00:00.000Z";;
"2024-03-17T06:30:00.000Z";;
"2024-03-17T07:00:00.000Z";;
"2024-03-17T07:30:00.000Z";;
"2024-03-17T08:00:00.000Z";;
"2024-03-17T08:30:00.000Z";;
"2024-03-17T09:00:00.000Z";;
"2024-03-17T09:30:00.000Z";;
"2024-03-17T10:00:00.000Z";;
"2024-03-17T10:30:00.000Z";;
"2024-03-17T11:00:00.000Z";;
"2024-03-17T11:30:00.000Z";;
"2024-03-17T12:00:00.000Z";;
"2024-03-17T12:30:00.000Z";;
"2024-03-17T13:00:00.000Z";;
"2024-03-17T13:30:00.000Z";;
"2024-03-17T14:00:00.000Z";;
"2024-03-17T14:30:00.000Z";;
"2024-03-17T15:00:00.000Z";;
"2024-03-17T15:30:00.000Z";;
"2024-03-17T16:00:00.000Z";;
"2024-03-17T16:30:00.000Z";;
"2024-03-17T17:00:00.000Z";;
"2024-03-17T17:30:00.000Z";;
"2024-03-17T18:00:00.000Z";;
"2024-03-17T18:30:00.000Z";;
"2024-03-17T19:00:00.000Z";;
"2024-03-17T19:30:00.000Z";;
"2024-03-17T20:00:00.000Z";;
"2024-03-17T20:30:00.000Z";;
"2024-03-17T21:00:00.000Z";;
"2024-03-17T21:30:00.000Z";;
"2024-03-17T22:00:00.000Z";;
"2024-03-17T22:30:00.000Z";;
"2024-03-17T23:00:00.000Z";;
"2024-03-17T23:30:00.000Z";;
"2024-03-18T00:00:00.000Z";;
"2024-03-18T00:30:00.000Z";;
"2024-03-18T01:00:00.000Z";;
"2024-03-18T01:30:00.000Z";;
"2024-03-18T02:00:00.000Z";;
"2024-03-18T02:30:00.000Z";;
"2024-03-18T03:00:00.000Z";;
"2024-03-18T03:30:00.000Z";;
"2024-03-18T04:00:00.000Z";;
"2024-03-18T04:30:00.000Z";;
"2024-03-18T05:00:00.000Z";;
"2024-03-18T05:30:00.000Z";;
"2024-03-18T06:00:00.000Z";;
